wave_id,step,truth_layer,truth_file,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Eddy Lin,45,169,12,74,0.210280,0.789474,0.695473,0.210526,0.396667,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Francisco Lopez,35,118,22,125,0.228758,0.614035,0.485597,0.385965,0.533333,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Giorgio Rossi,42,144,15,99,0.225806,0.736842,0.592593,0.263158,0.470000,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Hailey Johnson,27,98,30,145,0.216000,0.473684,0.403292,0.526316,0.573333,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Isabella Rodriguez,44,163,13,80,0.212560,0.771930,0.670782,0.228070,0.413333,24,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Jane Moreno,51,216,6,27,0.191011,0.894737,0.888889,0.105263,0.260000,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Jennifer Moore,45,138,12,105,0.245902,0.789474,0.567901,0.210526,0.500000,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,John Lin,50,211,7,32,0.191571,0.877193,0.868313,0.122807,0.273333,24,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Klaus Mueller,44,140,13,103,0.239130,0.771930,0.576132,0.228070,0.490000,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Latoya Williams,26,104,31,139,0.200000,0.456140,0.427984,0.543860,0.550000,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Maria Lopez,7,20,50,223,0.259259,0.122807,0.082305,0.877193,0.766667,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Mei Lin,40,162,17,81,0.198020,0.701754,0.666667,0.298246,0.403333,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Rajiv Patel,22,89,35,154,0.198198,0.385965,0.366255,0.614035,0.586667,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Ryan Park,33,163,24,80,0.168367,0.578947,0.670782,0.421053,0.376667,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Sam Moore,41,140,16,103,0.226519,0.719298,0.576132,0.280702,0.480000,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Tamara Taylor,1,24,56,219,0.040000,0.017544,0.098765,0.982456,0.733333,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Tom Moreno,45,168,12,75,0.211268,0.789474,0.691358,0.210526,0.400000,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Wolfgang Schulz,3,22,54,221,0.120000,0.052632,0.090535,0.947368,0.746667,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,Yuriko Yamamoto,2,26,55,217,0.071429,0.035088,0.106996,0.964912,0.730000,0,300
noise_r01,2100,observed_interaction,ground_truth/ground_truth_edges_2100.csv,__overall__,800,3043,625,3032,0.208171,0.561404,0.500905,0.438596,0.510933,48,7500
noise_r01,2100,observed_interaction_recent,ground_truth/ground_truth_edges_2100.csv,Abigail Chen,26,114,20,140,0.185714,0.565217,0.448819,0.434783,0.553333,0,300
noise_r01,2100,observed_interaction_recent,ground_truth/ground_truth_edges_2100.csv,Adam Smith,33,177,13,77,0.157143,0.717391,0.696850,0.282609,0.366667,0,300
noise_r01,2100,observed_interaction_recent,ground_truth/ground_truth_edges_2100.csv,Arthur Burton,34,156,12,98,0.178947,0.739130,0.614173,0.260870,0.440000,0,300
noise_r01,2100,observed_interaction_recent,ground_truth/ground_truth_edges_2100.csv,Ayesha Khan,28,139,18,115,0.167665,0.608696,0.547244,0.391304,0.476667,0,300
